ID,Cassette No.,Date,Database,Station,Language,Length,Kinyarwanda transcript,Notes
K0163898-K0163924,143,06-07/12/1993,Genocide Archives; ICTR,RTLM,English,60 mins (27 pages),K0151788-K0151816,
K0163999-K0164026,143,06-07/12/1993,Genocide Archives; ICTR,RTLM,French,60 mins (28 pages),K0151788-K0151816,
K0166621-K0166639,146,09-10/12/1993,Genocide Archives,RTLM,English,60 mins (19 pages),K0151695-K0151723,
K0163477-K0163503,146,09-10/12/1993,Genocide Archives,RTLM,French,60 mins (27 pages),K0151695-K0151723,
K0146902-K0146925,0146/0144,09-10/12/1993,Genocide Archives,RTLM,English and French ,24 pages,N/A,"Has French and English transcripts in the one document.
Cassette no.0144 does not appear anywhere else."
K0367839-K0367869,148,04/01/1994,Genocide Archives,RTLM,French,32 Pages,K0216656-K0216688,
K0249406-K0249452,149,04/01/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (47 pages),K0141175-K0141206,
K0259331-K0259357,155,15-17/01/1994,MIGS; Genocide Archives; ICTR,RTLM,English,27 pages,K0141267-K0141294,
K0249467-K0249493,155,15-17/01/1994,MIGS; Genocide Archives; ICTR,RTLM,French,27 pages,K0141267-K0141294,
K0221517-K0221524,159,21/01/1994,Genocide Archives,RTLM,English,Excerpts,N/A,
K0162202-K0162231,159,21/01/1994,ICTR,RTLM,French,60 mins (29 pages),N/A,
K0184435-K0184452,160,21-24/01/1994,ICTR,RTLM,French,17 Pages,K0163573-K0163598,
K0244708-K0244745,162,26/01/1994,MIGS,RTLM,French,60 mins (38 pages),K0138619-K0138646,
K0146962-K0146969,164,15/03/1994,Genocide Archives,RTLM,French,Excerpts,K0210907-K0210931,
N/A,166,16/03/1994,Genocide Archives; ICTR,RTLM,French,Excerpts,K0138556-K0138570,
N/A,166,16/03/1994,Genocide Archives; ICTR,RTLM,English,Excerpts,K0138556-K0138570,
K0146970-K0146983,168,16/03/1994,Genocide Archives; ICTR,RTLM,English,14 Pages,K0151897-K0151922,
K0163452-K0163476,168,16/03/1994,Genocide Archives,RTLM,French,25 pages,K0151897-K0151922,
K249062-K249058,169,17/03/1994,MIGS; ICTR,RTLM,French,24 Pages,K0138533-K0138554,
K0249879-K0249807,170,18/03/1994,MIGS; ICTR,RTLM,French,29 Pages,K0216689-K0216720,
K0146986-K0146989,171,18/03/1994,Genocide Archives; ICTR,RTLM,English,Excerpts,K0210932-K0210960,
K0113743-K0113745,172,18-19/03/1994,Genocide Archives; ICTR,RTLM,English,Excerpts,K0165664-K0165688,
K0161415-K0164174,177,21/03/1994,ICTR,RTLM,French,18 Pages,K0151846-K0151871,
K0166643-K0166660,177,21/03/1994,ICTR,RTLM,English,17 Pages,K0151846-K0151871,
K0249743-K0249777,180,23/03/1994,MIGS; Genocide Archives; ICTR,RTLM,French,35 Pages,K0138323-K0138350,
K0268048-K0268066,180,23/03/1994,MIGS; Genocide Archives; ICTR,RTLM,English,19 pages ,K0138323-K0138350,
